iter	RMSE
0	1698.784362
1	1655.423563
2	1615.824727
3	1575.779484
4	1540.557922
5	1509.277104
6	1476.268864
7	1445.188453
8	1415.884811
9	1389.275398
10	1367.500745
11	1344.710539
12	1326.316246
13	1306.878896
14	1288.717837
15	1272.174727
16	1255.757956
17	1243.215525
18	1230.42815
19	1217.999688
20	1208.036637
21	1196.764332
22	1186.386951
23	1176.588488
24	1169.581428
25	1161.792856
26	1153.912696
27	1147.171291
28	1139.798111
29	1133.457603
30	1127.951416
31	1124.084377
32	1119.984026
33	1115.264555
34	1111.500954
35	1107.586346
36	1104.723048
37	1101.040879
38	1098.445667
39	1095.309371
40	1092.962702
41	1090.493094
42	1088.934235
43	1086.790287
44	1084.451554
45	1082.374837
46	1080.993812
47	1079.954794
48	1078.571256
49	1077.401057
50	1076.172541
51	1075.10448
52	1074.15062
53	1073.124384
54	1072.357594
55	1071.198196
56	1070.671578
57	1069.731681
58	1069.239639
59	1068.721525
60	1068.221593
61	1067.628677
62	1067.090529
63	1066.259672
64	1065.764057
65	1065.21266
66	1064.817087
67	1064.182896
68	1063.773893
69	1063.155024
70	1062.867435
71	1062.583342
72	1062.165574
73	1061.854052
74	1061.696191
75	1061.470825
76	1061.347513
77	1060.996914
78	1060.783466
79	1060.564344
80	1060.351857
81	1060.151028
82	1059.979243
83	1059.790416
84	1059.612946
85	1059.422915
86	1059.329808
87	1059.290541
88	1059.124631
89	1059.112247
90	1058.84003
91	1058.700151
92	1058.646688
93	1058.462267
94	1058.373861
95	1058.373858
96	1058.102491
97	1057.8863
98	1057.721964
99	1057.693242
100	1057.4624
101	1057.418975
102	1057.337007
103	1057.257051
104	1056.933063
105	1056.768742
106	1056.358952
107	1056.220876
108	1056.193923
109	1056.082658
110	1056.048978
111	1055.90685
112	1055.804035
113	1055.62671
114	1055.595708
115	1055.518752
116	1055.30277
117	1055.19363
118	1054.932891
119	1054.836065
120	1054.72855
121	1054.59575
122	1054.391289
123	1054.217954
124	1054.176636
125	1054.117624
126	1053.997462
127	1053.986324
128	1053.93773
129	1053.804413
130	1053.801565
131	1053.592822
132	1053.486074
133	1053.408895
134	1053.253493
135	1053.049139
136	1052.92428
137	1052.792895
138	1052.732405
139	1052.589986
140	1052.542584
141	1052.488211
142	1052.303744
143	1052.216692
144	1052.206361
145	1052.149041
146	1052.087738
147	1052.08765
148	1051.85891
149	1051.815937
150	1051.808354
151	1051.686688
152	1051.628578
153	1051.612778
154	1051.480634
155	1051.279493
156	1051.128304
157	1051.052892
158	1051.033565
159	1050.926054
160	1050.798973
161	1050.718717
162	1050.643319
163	1050.620068
164	1050.441187
165	1050.022002
166	1049.997627
167	1049.997469
168	1049.717676
169	1049.608995
170	1049.504414
171	1049.395487
172	1049.182634
173	1049.115186
174	1049.060607
175	1048.979145
176	1048.959191
177	1048.72858
178	1048.656025
179	1048.64321
180	1048.57521
181	1048.386149
182	1048.28764
183	1048.276425
184	1048.272925
185	1048.260024
186	1048.128309
187	1048.05197
188	1047.987018
189	1047.917121
190	1047.865214
191	1047.841644
192	1047.723148
193	1047.68589
194	1047.653573
195	1047.53701
196	1047.458615
197	1047.388672
198	1047.352806
199	1047.154234
200	1047.11458
201	1046.907669
202	1046.835104
203	1046.553906
204	1046.482004
205	1046.261563
206	1046.255874
207	1045.959007
208	1045.950035
209	1045.896059
210	1045.782989
211	1045.739224
212	1045.539524
213	1045.52508
214	1045.494643
215	1045.458295
216	1045.45451
217	1045.406693
218	1045.292061
219	1045.193326
220	1045.182888
221	1044.969763
222	1044.726899
223	1044.606552
224	1044.524298
225	1044.419482
226	1044.329713
227	1044.32465
228	1044.197689
229	1044.159528
230	1044.123112
231	1043.954469
232	1043.945553
233	1043.933812
234	1043.914719
235	1043.893843
236	1043.807024
237	1043.704086
238	1043.686654
239	1043.642798
240	1043.59912
241	1043.391728
242	1043.364453
243	1043.348044
244	1043.277143
245	1042.982201
246	1042.95085
247	1042.792825
248	1042.763082
249	1042.649739
250	1042.424966
251	1042.351409
252	1042.249255
253	1042.141414
254	1042.141407
255	1041.970198
256	1041.622402
257	1041.547664
258	1041.330527
259	1041.276142
260	1041.207565
261	1041.082694
262	1041.056623
263	1041.027639
264	1040.837422
265	1040.807312
266	1040.603375
267	1040.445173
268	1040.435812
269	1040.413703
270	1040.393678
271	1040.361864
272	1040.335111
273	1040.241738
274	1040.163064
275	1040.135739
276	1040.045199
277	1040.025149
278	1039.924864
279	1039.851006
280	1039.680934
281	1039.676607
282	1039.654731
283	1039.573259
284	1039.495272
285	1039.434671
286	1039.229076
287	1039.172751
288	1039.127153
289	1039.123933
290	1039.12071
291	1039.112879
292	1039.061816
293	1039.043748
294	1038.799252
