iter	Passed	Remaining
0	20	123482
1	46	139849
2	70	140058
3	93	140261
4	116	139758
5	141	141012
6	165	141517
7	193	145100
8	221	147242
9	245	147300
10	272	148403
11	298	149076
12	324	149557
13	351	150334
14	376	150052
15	401	150011
16	430	151601
17	464	154341
18	490	154406
19	516	154383
20	551	157023
21	579	157466
22	607	157962
23	633	157706
24	672	160613
25	697	160208
26	723	160070
27	750	160060
28	774	159516
29	800	159298
30	841	162079
31	868	162002
32	895	161954
33	922	161838
34	947	161512
35	974	161490
36	998	160885
37	1024	160690
38	1063	162584
39	1101	164153
40	1139	165569
41	1167	165602
42	1204	166915
43	1230	166548
44	1256	166267
45	1281	165926
46	1307	165561
47	1333	165414
48	1361	165307
49	1398	166478
50	1426	166389
51	1453	166221
52	1480	166117
53	1506	165932
54	1533	165769
55	1564	166074
56	1591	165977
57	1619	165922
58	1644	165621
59	1674	165740
60	1699	165447
61	1717	164447
62	1742	164169
63	1769	164076
64	1795	163944
65	1822	163818
66	1846	163552
67	1874	163507
68	1899	163271
69	1939	164288
70	1969	164429
71	1994	164225
72	2021	164092
73	2048	164036
74	2074	163920
75	2100	163730
76	2126	163563
77	2151	163341
78	2178	163308
79	2206	163314
80	2247	164263
81	2275	164259
82	2302	164118
83	2328	163966
84	2352	163736
85	2394	164685
86	2421	164602
87	2446	164355
88	2474	164373
89	2499	164162
90	2524	163940
91	2551	163826
92	2574	163495
93	2601	163466
94	2629	163462
95	2642	162500
96	2666	162283
97	2692	162171
98	2717	162005
99	2743	161838
100	2770	161804
101	2795	161623
102	2819	161416
103	2847	161451
104	2873	161325
105	2899	161218
106	2944	162161
107	2973	162232
108	2999	162086
109	3025	162016
110	3050	161863
111	3077	161782
112	3102	161655
113	3128	161509
114	3151	161299
115	3177	161191
116	3203	161069
117	3228	160937
118	3257	161008
119	3317	162548
120	3349	162721
121	3376	162695
122	3402	162578
123	3429	162510
124	3456	162454
125	3485	162493
126	3510	162335
127	3567	163657
128	3595	163631
129	3620	163494
130	3640	163088
131	3667	163017
132	3692	162906
133	3718	162799
134	3744	162671
135	3772	162657
136	3798	162549
137	3823	162404
138	3848	162268
139	3880	162428
140	3905	162291
141	3930	162165
142	3956	162062
143	3983	161989
144	4014	162094
145	4040	162008
146	4065	161860
147	4090	161734
148	4117	161684
149	4152	161941
150	4178	161835
151	4205	161803
152	4229	161629
153	4254	161493
154	4280	161413
155	4307	161358
156	4333	161288
157	4359	161200
158	4385	161100
159	4426	161577
160	4453	161500
161	4478	161387
162	4503	161264
163	4528	161155
164	4557	161182
165	4591	161355
166	4616	161241
167	4629	160716
168	4660	160801
169	4687	160766
170	4713	160671
171	4739	160579
172	4768	160629
173	4799	160703
174	4825	160618
175	4850	160517
176	4875	160407
177	4918	160867
178	4949	160946
179	4975	160882
180	5003	160869
181	5029	160785
182	5055	160694
183	5079	160566
184	5104	160458
185	5130	160369
186	5155	160267
187	5183	160242
188	5209	160185
189	5235	160081
190	5260	159984
191	5286	159916
192	5322	160131
193	5347	160034
194	5371	159918
195	5400	159925
196	5428	159919
197	5453	159791
198	5478	159710
199	5509	159789
200	5536	159741
201	5562	159664
202	5589	159609
203	5627	159873
204	5652	159786
205	5689	160029
206	5716	159985
207	5742	159895
208	5773	159963
209	5799	159907
210	5827	159887
211	5851	159763
212	5879	159727
213	5904	159642
214	5928	159518
215	5953	159430
216	5977	159289
217	6002	159206
218	6028	159140
219	6053	159038
220	6077	158932
221	6104	158886
222	6130	158819
223	6154	158686
224	6179	158603
225	6205	158530
226	6231	158476
227	6263	158575
228	6289	158509
229	6315	158440
230	6340	158349
231	6365	158270
232	6400	158410
233	6426	158366
234	6451	158278
235	6477	158195
236	6502	158124
237	6527	158024
238	6551	157919
239	6581	157961
240	6607	157903
241	6634	157854
242	6659	157775
243	6684	157692
244	6710	157637
245	6736	157578
246	6762	157514
247	6787	157431
248	6813	157374
249	6838	157291
250	6866	157275
251	6892	157217
252	6931	157463
253	6958	157405
254	6985	157369
255	7012	157347
256	7039	157305
257	7065	157245
258	7090	157162
259	7116	157118
260	7143	157070
261	7168	157003
262	7194	156943
263	7221	156900
264	7256	157032
265	7281	156963
266	7318	157141
267	7344	157081
268	7368	156986
269	7392	156892
270	7419	156852
